Place,Month,Categories,Hotels,Single ,Double,Triple 
Masai Mara,05/01/26-28/02/26,Value,Castel Mara Camp /Osero Enarau Camp,153,211,300
,,Comfort,Pride Inn Mara (Savannah Tents) /Mara Maisha Camps ,153,211,300
,,Premium ,Mara Serena Safari Lodge / Sarova Mara Game Camp (Deluxe) / Tipilikwani,153,211,300
,,Luxury ,Ilora Retreats,153,211,300
,01/03/26-31/03/26,Value,Castel Mara Camp /Osero Enarau Camp,153,211,300
,,Comfort,Maisha Mara Camp/Mara Serena Safari Lodge,153,211,300
,,Premium ,Enchipai Mara/Ilkeleani Camps,153,211,300
,,Luxury ,Ilora Retreats,153,211,300
,01/04/26-31/05/26,Value,Enkorok Mara Camp/Osero Enarau Camp,153,211,300
,,Comfort,Pride Inn Mara (Savannah Tents),153,211,300
,,Premium ,Mara Serena Safari Lodge / Sarova Mara Game Camp (Deluxe),153,211,300
,,Luxury ,Ilora Retreats,153,211,300
,01/06/26-30/06/26,Value,Osero Enarau Camp,153,211,300
,,Comfort,Base Camp adventure/Castel Mara Camp,153,211,300
,,Premium ,Pride Inn Mara (Savannah Tents)/Mara Simba Lodge (Standard Tent),153,211,300
,,Luxury ,Ilora Retreats/Ilkeleani Camp,153,211,300
,01/07/26-30/09/26,Value,Explore Nature Mara Lodge/ Olkinyei Mara Tented Camp (Comfort Tent),153,211,300
,,Comfort,Mara Leisure Camp (Classic Tents)/Masai Mara Sopa Lodge/Castel Mara Camp,153,211,300
,,Premium ,Enchipai Mara Camp/Mara Serena Safari Lodge,153,211,300
,,Luxury ,Ilora Retreats/Ilkeleani Camp,153,211,300
,01/10/26-31/10/26,Value,Osero Enarau Camp /Enkorok Mara Camp,153,211,300
,,Comfort,Pride Inn Mara (Savannah Tents) /Base Camp Masai Mara,153,211,300
,,Premium ,Maisha Camps/Mara Serena Safari Lodge /Sarova Mara Game Camp (Deluxe),153,211,300
,,Luxury ,Ilora Retreats,153,211,300
,01/11/26-14/12/26,Value,Enkorok Mara Camp / Osero Enarau Camp,153,211,300
,,Comfort,Pride Inn Mara (Savannah Tents),153,211,300
,,Premium ,Maisha Camps,153,211,300
,,Luxury ,Ilkeleani Camp,153,211,300
,15/12/26-04/01/27,Value,Explore Nature Mara Lodge/ Olkinyei Mara Tented Camp (Comfort Tent),153,211,300
,,Comfort,Mara Leisure Camp (Classic Tents)/Masai Mara Sopa Lodge/Castel Mara Camp,153,211,300
,,Premium ,Enchipai Mara Camp/Mara Serena Safari Lodge,153,211,300
,,Luxury ,Ilora Retreats/Ilkeleani Camp,153,211,300
Nakuru,05/01/26-28/02/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Sarova Woodlands,153,211,300
,,Premium ,Lake Nakuru Sopa Lodge,153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/03/26-31/03/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Sarova Woodlands,153,211,300
,,Premium ,Sarova Lion Hill Game Lodge (Standard Room),153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/04/26-31/05/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Lake Nakuru Sopa Lodge,153,211,300
,,Premium ,Sarova Lion Hill Game Lodge (Standard Room),153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/06/26-30/06/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Lake Nakuru Sopa Lodge,153,211,300
,,Premium ,Mbweha Safari Camp,153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/07/26-30/09/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Sarova Woodlands,153,211,300
,,Premium ,Lake Nakuru Sopa Lodge,153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/10/26-31/10/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Sarova Woodlands,153,211,300
,,Premium ,Sarova Lion Hill Game Lodge (Standard Room),153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,01/11/26-14/12/26,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Egret Savannah Camp,153,211,300
,,Premium ,Sarova Lion Hill Game Lodge (Standard Room),153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
,15/12/26-04/01/27,Value,Ziwa Bush Lodge (Executive),153,211,300
,,Comfort,Sarova Woodlands,153,211,300
,,Premium ,Lake Nakuru Sopa Lodge,153,211,300
,,Luxury ,"The Cliff, Lake Nakuru (Luxury Suite)",153,211,300
Naivasha ,05/01/26-28/02/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/03/26-31/03/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/04/26-31/05/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/06/26-30/06/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/07/26-30/09/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/10/26-31/10/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/11/26-14/12/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,15/12/26-04/01/27,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
Amboseli NP,05/01/26-28/02/26,Value,Hunter's Luxury Manor Amboseli ,153,211,300
,,Comfort,Amboseli Sopa Lodge (Standard Rooms),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/03/26-31/03/26,Value,Hunter's Luxury Manor Amboseli ,153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/04/26-31/05/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/06/26-30/06/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/07/26-30/09/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/10/26-31/10/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,01/11/26-14/12/26,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
,15/12/26-04/01/27,Value,Mwanzo Lodge (Rooms),153,211,300
,,Comfort,Naivasha Kongoni Lodge (Deluxe),153,211,300
,,Premium ,Lake Naivasha Sopa Resort,153,211,300
,,Luxury ,Enashipai Resort and Spa,153,211,300
Samburu,05/01/26-28/02/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/03/26-31/03/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/04/26-31/05/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/06/26-30/06/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/07/26-30/09/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/10/26-31/10/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/11/26-14/12/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,15/12/26-04/01/27,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
Ol Pejeta,05/01/26-28/02/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/03/26-31/03/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/04/26-31/05/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/06/26-30/06/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/07/26-30/09/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/10/26-31/10/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,01/11/26-14/12/26,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
,15/12/26-04/01/27,Value,,153,211,300
,,Comfort,,153,211,300
,,Premium ,,153,211,300
,,Luxury ,,153,211,300
