class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
1,Eileens Trees Inn(Standard Room),Karatu,Karatu,Peak,"1 Jan to 31 Mar, Jun to Dec",100,140,190,,
1,Eileens Trees Inn(Standard Room),Karatu,Karatu,Low,Apr to May,70,120,170,,
1,Kankari Lodge (Bungalow),Karatu,Karatu,Peak,"1 Jan to 31 Mar, Jun to Oct, Dec",90,158,200,,
1,Kankari Lodge (Bungalow),Karatu,Karatu,Low,"Apr, May, Nov",71,125,170,,
2,Marera valley lodge,Karatu,Karatu,Peak,"Jan - Mar, Jun - Oct., Dec",104,191,249,,
2,Marera valley lodge,Karatu,Karatu,Low,"April, May and November",80,149,191,,
2,Bougainvillea safari lodge,Karatu,Karatu,Peak,"Jan - Mar, Jun - Oct., Dec",104,191,249,,
2,Bougainvillea safari lodge,Karatu,Karatu,Low,"April, May and November",80,149,191,,class
2,Country lodge,Karatu,Karatu,Peak,"Jan - Mar, Jun - Oct., Dec",101,181,238,,
2,Country lodge,Karatu,Karatu,Low,"April, May and November",80,149,191,,
3,Mawe Mawe lake manyara,Lake Manyara,Lake Manyara,Peak,Whole year,159.9,246,369,,
3,Migombani Camp (Cottages),Lake Manyara,Lake Manyara,Peak,"1 Jan- 31 Mar, 1 Jun - 31 Oct, 16 Dec - 31 Dec",175,230,295,,
3,Migombani Camp (Cottages),Lake Manyara,Lake Manyara,Low,"1 April - 31 May, 1 November - 15 December",140,190,250,,
4,Mandhari Lodge,Lake Manyara,Lake Manyara,Peak,"01 Jan – 28 Feb, 01 Jun – 31 Oct, 20 Dec – 31 Dec",230,382,549,,
4,Mandhari Lodge,Lake Manyara,Lake Manyara,Low,"01 Mar – 31 May, 01 Nov – 19 Dec",146,292,393,,
4,Lake Manyara Serena Safari Lodge,Lake Manyara ,Lake Manyara ,Peak ,"Feb, 1st Jun -31st Oct",356.25,475,653.125,,
4,Lake Manyara Serena Safari Lodge,Lake Manyara ,Lake Manyara ,Festive,23rd Dec - 1st Jan 26,408.75,545,749.375,,
4,Lake Manyara Serena Safari Lodge,Lake Manyara ,Lake Manyara ,High ,"2nd Jan - 31st Jan, Mar, 1st Nov - 22nd Dec",237.75,317,435.875,,
