class,hotelname,location,daterange,singlerate,doubleRate,tripleRate
1,Explore Nature Mara Lodge,Masai Mara,"01/01/26-30/06/26,01/11/26-21/12/26",140,220,260
1,Explore Nature Mara Lodge,Masai Mara,"01/07/26-31/10/26,22/12/26-31/12/26",180,280,320
1,Explore Nature Mara Lodge,Masai Mara,"01/01/27-30/06/27,01/11/27-21/12/27",0,0,0
1,Explore Nature Mara Lodge,Masai Mara,"01/07/27-31/10/27,22/12/27-31/12/27",0,0,0
1,Olkinyei Mara Tented Camp (Comfort Tent),Masai Mara,"01/01/26-06/01/26,15/06/26-31/10/26,22/12/26-31/12/26",170,280,390
1,Olkinyei Mara Tented Camp (Comfort Tent),Masai Mara,"07/01/26-14/06/26,01/11/26-21/12/26",140,240,330
1,Olkinyei Mara Tented Camp (Comfort Tent),Masai Mara,"01/01/27-06/01/27,15/06/27-31/10/27,22/12/27-31/12/27",0,0,0
1,Olkinyei Mara Tented Camp (Comfort Tent),Masai Mara,"07/01/27-14/06/27,01/11/27-21/12/27",0,0,0
1,Mara Chui Resort (Standard Rooms),Masai Mara,"01/01/26-02/01/26,01/07/26-31/08/26,22/12/26-31/12/26",200,290,390
1,Mara Chui Resort (Standard Rooms),Masai Mara,"03/01/26-31/03/26,01/06/26-30/06/26,01/09/26-31/10/26",120,180,250
1,Mara Chui Resort (Standard Rooms),Masai Mara,"01/04/26-31/05/26,01/11/26-21/12/26",110,150,220
1,Mara Chui Resort (Standard Rooms),Masai Mara,"01/01/27-02/01/27,01/07/27-31/08/27,22/12/27-31/12/27",0,0,0
1,Mara Chui Resort (Standard Rooms),Masai Mara,"03/01/27-31/03/27,01/06/27-30/06/27,01/09/27-31/10/27",0,0,0
1,Mara Chui Resort (Standard Rooms),Masai Mara,"01/04/27-31/05/27,01/11/27-21/12/27",0,0,0
2,Enkorok Mara Camp,Masai Mara,"01/01/26-02/01/26,01/07/26-30/09/26,22/12/26-31/12/26",225,320,440
2,Enkorok Mara Camp,Masai Mara,"03/01/26-31/03/26,01/06/26-30/06/26,01/10/26-31/10/26",145,210,290
2,Enkorok Mara Camp,Masai Mara,"01/04/26-31/05/26,01/11/26-21/12/26",110,160,230
2,Enkorok Mara Camp,Masai Mara,"01/01/27-02/01/27,01/07/27-30/09/27,22/12/27-31/12/27",0,0,0
2,Enkorok Mara Camp,Masai Mara,"03/01/27-31/03/27,01/06/27-30/06/27,01/10/27-31/10/27",0,0,0
2,Enkorok Mara Camp,Masai Mara,"01/04/27-31/05/27,01/11/27-21/12/27",0,0,0
2,Osero Enarau Camp,Masai Mara,"01/01/26-31/03/26,01/10/26-31/10/26",150,200,300
2,Osero Enarau Camp,Masai Mara,"01/04/26-30/06/26,01/11/26-22/12/26",120,160,240
2,Osero Enarau Camp,Masai Mara,"01/07/26-14/07/26,06/09/26-30/09/26",205,270,405
2,Osero Enarau Camp,Masai Mara,"15/07/26-05/09/26,23/12/26-31/12/26",240,320,480
2,Osero Enarau Camp,Masai Mara,"01/01/27-31/03/27,01/10/27-31/10/27",0,0,0
2,Osero Enarau Camp,Masai Mara,"01/04/27-30/06/27,01/11/27-22/12/27",0,0,0
2,Osero Enarau Camp,Masai Mara,"01/07/27-14/07/27,06/09/27-30/09/27",0,0,0
2,Osero Enarau Camp,Masai Mara,"15/07/27-05/09/27,23/12/27-31/12/27",0,0,0
3,Mara Leisure Camp (Classic Tents),Masai Mara,"01/01/26-05/01/26,01/07/26-30/09/26,23/12/26-31/12/26",265,398,548
3,Mara Leisure Camp (Classic Tents),Masai Mara,"06/01/26-31/03/26,16/06/26-30/06/26",145,217,299
3,Mara Leisure Camp (Classic Tents),Masai Mara,01/04/26-15/06/26,121,183,253
3,Mara Leisure Camp (Classic Tents),Masai Mara,01/10/26-22/12/26,133,200,275
3,Mara Leisure Camp (Classic Tents),Masai Mara,"01/01/27-05/01/27,01/07/27-30/09/27,23/12/27-31/12/27",0,0,0
3,Mara Leisure Camp (Classic Tents),Masai Mara,"06/01/27-31/03/27,16/06/27-30/06/27",0,0,0
3,Mara Leisure Camp (Classic Tents),Masai Mara,01/04/27-15/06/27,0,0,0
3,Mara Leisure Camp (Classic Tents),Masai Mara,01/10/27-22/12/27,0,0,0
3,Masai Mara Sopa Lodge,Masai Mara,"01/01/26-31/03/26,01/06/26-30/06/26,01/11/26-21/12/26",162,250,317
3,Masai Mara Sopa Lodge,Masai Mara,"01/07/26-31/10/26,22/12/26-31/12/26",263,405,516
3,Masai Mara Sopa Lodge,Masai Mara,01/04/26-31/05/26,113,175,222
3,Masai Mara Sopa Lodge,Masai Mara,"01/01/27-31/03/27,01/06/27-30/06/27,01/11/27-21/12/27",0,0,0
3,Masai Mara Sopa Lodge,Masai Mara,"01/07/27-31/10/27,22/12/27-31/12/27",0,0,0
3,Masai Mara Sopa Lodge,Masai Mara,01/04/27-31/05/27,0,0,0
3,Castel Mara Camp,Masai Mara,"01/01/26-30/06/26,16/09/26-20/12/26",155,212,282
3,Castel Mara Camp,Masai Mara,"01/07/26-15/09/26,21/12/26-31/12/26",283,406,609
3,Castel Mara Camp,Masai Mara,"01/01/27-30/06/27,16/09/27-20/12/27",0,0,0
3,Castel Mara Camp,Masai Mara,"01/07/27-15/09/27,21/12/27-31/12/27",0,0,0
